2|86.75|44.23|0
3|78.58|44.23|0
4|76.5|37|0
5|53.85|8.07|0
6|55.70|20.50|0
7|44.62|20.1|0
8|45.1|8.19|0
9|34|24|0
10|44.9|36.34|0
11|54.20|34.50|0
12|45.52|61.27|0
14|54.14|61.25|0
15|54.14|77.22|0
16|61.15|76|0
17|78.58|54.04|0
18|86.16|52.64|0
20|66.73|25.39|0
21|38.08|41.82|0
23|36.62|53.25|0
24|7.69|48.66|0
30|70.53|69.53|0
35|24.71|32.6|0
39|65.46|53.23|0
40|62.53|49.13|0
41|61.75|44.23|0
51|44.77|90.85|0
53|40.27|77.23|0
54|32.19|72.96|0
55|50.77|90.85|0
231|26|53.71|0
232|14.11|51.52|0
235|20.45|53.71|0

